gamma,gamma_tag,n_labeled,n_test,mean_reach,std_reach,max_reach,cv_reach,spearman_y_degree_test,spearman_y_phi_test,spearman_y_vs_gamma1_y_test,spearman_y_vs_gamma1_y_all,ic_scores_path,regression_targets_path,label_source,label_generation_sec,degree_model_spearman,lr_attr_spearman,lr_1hop_spearman,sage_spearman,sage_source,delta_sage_vs_lr_attr,ci_sage_vs_lr_attr_lower,ci_sage_vs_lr_attr_upper,delta_sage_vs_lr_1hop,ci_sage_vs_lr_1hop_lower,ci_sage_vs_lr_1hop_upper
0.0,0,5000,1000,2.209197,0.8106541803944516,5.61,0.3669451752804682,-0.06470731886503951,0.95815984137868,0.897943053243368,0.9057377397991278,/workspace/SNA_Group9_CBoW/outputs/mapr2026_v3_results/hscc_gamma_sensitivity/ic_scores_hscc_gamma_0.parquet,/workspace/SNA_Group9_CBoW/outputs/mapr2026_v3_results/hscc_gamma_sensitivity/regression_targets_hscc_gamma_0.parquet,skipped_existing,,-0.06470731886503951,0.9525048999371466,0.9617234891925989,0.943022147212943,retrained,-0.009482752724203625,-0.01745953687416272,-0.0026301706065040373,-0.018701341979655894,-0.025406353200028257,-0.012846061746360434
0.5,0p5,5000,1000,2.980685,1.3461869245297995,7.495,0.4516367628680481,-0.030801193708877246,0.933229595402207,0.9564175755429215,0.9593082652341867,/workspace/SNA_Group9_CBoW/outputs/mapr2026_v3_results/hscc_gamma_sensitivity/ic_scores_hscc_gamma_0p5.parquet,/workspace/SNA_Group9_CBoW/outputs/mapr2026_v3_results/hscc_gamma_sensitivity/regression_targets_hscc_gamma_0p5.parquet,skipped_existing,,-0.030801193708877246,0.9274180967240359,0.9486937451040219,0.9389928299252566,retrained,0.01157473320122071,0.0025722217383045477,0.019424721443680015,-0.009700915178765368,-0.01598539375621196,-0.004396219336751617
1.0,1,5000,1000,4.834271,2.818501079219059,16.305,0.5830250474618563,-0.006360674238591888,0.8779442150410549,1.0,1.0,/workspace/SNA_Group9_CBoW/outputs/mapr2026_v3_results/ic_scores_hscc_refined.parquet,/workspace/SNA_Group9_CBoW/data/processed/regression_targets_hscc_refined.parquet,frozen_main,,-0.006360674238591888,0.8842852268581239,0.9210980010731845,0.9170915370943683,retrained,0.03280631023624436,0.02103173176672376,0.04361182348559193,-0.00400646397881621,-0.011644993068809678,0.002735485180908127
