model_name,spearman_rho_mean,spearman_rho_std,ndcg_mean,ndcg_std,precision_mean,precision_std,runtime_sec,train_sec
gat_edge_only,-0.13071418449755098,0.0,0.1613365788073446,0.0,0.09,0.0,0.0345616340637207,4.013516187667847
gcn_edge_only,-0.06246055265566879,0.0,0.8191566509054558,0.0,0.5,0.0,0.0055255889892578125,0.6400997638702393
gin_edge_only,0.5982584710568473,0.0,0.8125335396608118,0.0,0.47,0.0,0.0025076866149902344,0.5698692798614502
sage_edge_only,0.4975898890326618,0.0,0.23362154422173456,0.0,0.14,0.0,0.002509593963623047,0.4927668571472168
