model_name,spearman_rho,spearman_rho_std,ndcg_at_10pct,ndcg_at_10pct_std,precision_at_10pct,precision_at_10pct_std,runtime_sec,train_sec
betweenness,0.039803288084566804,0.0,0.49823607120178837,0.0,0.09,0.0,0.0009982585906982422,
degree,-0.006360674238591888,0.0,0.46452182482703974,0.0,0.04,0.0,0.0009980201721191406,
kshell,-0.027205331863245336,0.0,0.42532205839356163,0.0,0.05,0.0,0.0,
life_time,-0.7899593980370532,0.0,0.22101319966956995,0.0,0.0,0.0,0.000997781753540039,
lr_degree_views_life_time,0.8678980151503782,0.0,0.8006277715508505,0.0,0.41,0.0,0.0009992122650146484,0.0009996891021728516
lr_life_time,0.7899593980370532,0.0,0.8273715472565297,0.0,0.46,0.0,0.0,0.0019791126251220703
lr_phi,0.8779442150410549,0.0,0.8362324050833342,0.0,0.44,0.0,0.0009999275207519531,0.0009999275207519531
lr_views_life_time,0.8678325850078059,0.0,0.8004752796763377,0.0,0.41,0.0,0.0,0.0020012855529785156
mlp_raw_attr,0.8640194991380425,0.001778765798751296,0.7884801501784233,0.015206238192016993,0.39,0.03521363372331801,0.0010077953338623047,1.0892697334289552
one_hop,0.08135385951417771,0.0,0.4975490539345434,0.0,0.05,0.0,0.0009992122650146484,
pagerank,0.004371207524864236,0.0,0.4790832740624581,0.0,0.05,0.0,0.0,
phi,0.8779442150410549,0.0,0.8362324050833342,0.0,0.44,0.0,0.0,
two_hop,0.022933801972770437,0.0,0.4862293995475497,0.0,0.04,0.0,0.0009992122650146484,
views,0.14668823283729318,0.0,0.5058742537803234,0.0,0.04,0.0,0.0,
views_day,0.39138432082670715,0.0,0.5480913291532458,0.0,0.06,0.0,0.0,
