label_regime,model_name,spearman_rho,spearman_rho_std,ndcg_at_10pct,ndcg_at_10pct_std,precision_at_10pct,precision_at_10pct_std,runtime_sec,train_sec
hscc,betweenness,0.039803288084566804,0.0,0.49823607120178837,0.0,0.09,0.0,0.004698038101196289,
hscc,degree,-0.006360674238591888,0.0,0.4645218248270397,0.0,0.04,0.0,0.00441431999206543,
hscc,kshell,-0.027205331863245336,0.0,0.42532205839356163,0.0,0.05,0.0,0.0015058517456054688,
hscc,life_time,-0.7899593980370532,0.0,0.22101319966956992,0.0,0.0,0.0,0.00471806526184082,
hscc,lr_degree_views_life_time,0.8678980151503782,0.0,0.8006277715508505,0.0,0.41,0.0,0.0006251335144042969,0.0018346309661865234
hscc,lr_degree_views_life_time_lang,0.8843015708937376,0.0,0.8294448466090564,0.0,0.45,0.0,0.002001523971557617,0.0032684803009033203
hscc,lr_life_time,0.7899593980370532,0.0,0.8273715472565295,0.0,0.46,0.0,0.001024007797241211,0.002164602279663086
hscc,lr_phi,0.8779442150410549,0.0,0.8362324050833342,0.0,0.44,0.0,0.0009021759033203125,0.0014617443084716797
hscc,lr_views_life_time,0.8678325850078059,0.0,0.8004752796763377,0.0,0.41,0.0,0.0005366802215576172,0.0021486282348632812
hscc,lr_views_life_time_lang,0.8844167891447983,0.0,0.8304939221858436,0.0,0.45,0.0,0.005283355712890625,0.0037689208984375
hscc,mlp_raw_attr,0.8369289392687405,0.025716149200265846,0.7509262729169566,0.025570559256960036,0.29,0.05253570214625479,0.0013653755187988282,0.705574369430542
hscc,node2vec_lr,0.5701430415420838,0.015386770848957817,0.7225771159858176,0.016982731857527546,0.294,0.01496662954709576,0.040195655822753903,152.2804072856903
hscc,one_hop,0.08135385951417771,0.0,0.4975490539345434,0.0,0.05,0.0,0.0002803802490234375,
hscc,pagerank,0.004371207524864236,0.0,0.4790832740624581,0.0,0.05,0.0,0.004584312438964844,
hscc,phi,0.8779442150410549,0.0,0.8362324050833342,0.0,0.44,0.0,0.004604816436767578,
hscc,two_hop,0.022933801972770437,0.0,0.4862293995475496,0.0,0.04,0.0,0.00027060508728027344,
hscc,views,0.14668823283729318,0.0,0.5058742537803234,0.0,0.04,0.0,0.003523588180541992,
hscc,views_day,0.39138432082670715,0.0,0.5480913291532458,0.0,0.06,0.0,0.00439000129699707,
