label_regime,model_name,spearman_rho,spearman_rho_std,ndcg_at_10pct,ndcg_at_10pct_std,precision_at_10pct,precision_at_10pct_std,runtime_sec,train_sec
a0,betweenness,0.7163958237232385,0.0,0.7347562018068655,0.0,0.42,0.0,0.0003390312194824219,
a0,degree,0.8263431086963201,0.0,0.881479291668557,0.0,0.6,0.0,0.0003399848937988281,
a0,kshell,0.8158559150833539,0.0,0.6870816289617512,0.0,0.5,0.0,0.00033211708068847656,
a0,life_time,0.22908609819459028,0.0,0.3269597619039794,0.0,0.22,0.0,0.0003306865692138672,
a0,lr_degree_views_life_time,0.5219141654520234,0.0,0.8032478098363572,0.0,0.52,0.0,0.0005774497985839844,0.0016694068908691406
a0,lr_life_time,0.22908609819459028,0.0,0.3269597619039794,0.0,0.22,0.0,0.0006318092346191406,0.0016012191772460938
a0,lr_phi,-0.027326188705583697,0.0,0.13918461908747623,0.0,0.1,0.0,0.0005314350128173828,0.0014455318450927734
a0,lr_views_life_time,0.4373098545614948,0.0,0.6104919282396226,0.0,0.44,0.0,0.0005359649658203125,0.0017731189727783203
a0,mlp_raw_attr,0.4353470290719579,0.002711317001800572,0.6011893076870872,0.004525406577396211,0.42400000000000004,0.008000000000000007,0.0008540153503417969,0.4972949981689453
a0,node2vec_lr,0.8105896851770893,0.004027726346732429,0.8541403324371528,0.01583757786934279,0.584,0.014966629547095779,0.023555994033813477,118.24858121871948
a0,one_hop,0.6877481950348494,0.0,0.8329115384165631,0.0,0.52,0.0,0.00033855438232421875,
a0,pagerank,0.8240742332293253,0.0,0.8568005529903443,0.0,0.56,0.0,0.0003445148468017578,
a0,phi,-0.027326188705583697,0.0,0.13918461908747623,0.0,0.1,0.0,0.00035452842712402344,
a0,two_hop,0.8039148268951347,0.0,0.8477827723661913,0.0,0.55,0.0,0.00033020973205566406,
a0,views,0.4261462375273147,0.0,0.609811238948375,0.0,0.45,0.0,0.0003571510314941406,
a0,views_day,0.36553440134020265,0.0,0.5794628298290608,0.0,0.41,0.0,0.00033402442932128906,
