label_regime,model_name,spearman_rho,spearman_rho_std,ndcg_at_10pct,ndcg_at_10pct_std,precision_at_10pct,precision_at_10pct_std,runtime_sec,train_sec
a0,betweenness,0.7163958237232385,0.0,0.7347562018068654,0.0,0.42,0.0,0.0002975463867187,
a0,degree,0.8263431086963201,0.0,0.8814792916685569,0.0,0.6,0.0,0.0003650188446044,
a0,kshell,0.8158559150833539,0.0,0.6870816289617511,0.0,0.5,0.0,0.0002913475036621,
a0,life_time,0.2290860981945902,0.0,0.3269597619039794,0.0,0.22,0.0,0.00030517578125,
a0,lr_degree_views_life_time,0.5219145794578217,0.0,0.8032478098363571,0.0,0.52,0.0,0.0047409534454345,0.0017924308776855
a0,lr_degree_views_life_time_lang,0.5370824798855498,0.0,0.8118192336393866,0.0,0.51,0.0,0.0021090507507324,0.0042521953582763
a0,lr_life_time,0.2290860981945902,0.0,0.3269597619039794,0.0,0.22,0.0,0.0010237693786621,0.0022189617156982
a0,lr_phi,-0.0273261887055836,0.0,0.1391846190874762,0.0,0.1,0.0,0.0008792877197265,0.0014874935150146
a0,lr_views_life_time,0.4373098545614948,0.0,0.6104919282396225,0.0,0.44,0.0,0.0008313655853271,0.0029687881469726
a0,lr_views_life_time_lang,0.4698848987777437,0.0,0.7112982195522741,0.0,0.49,0.0,0.0019683837890625,0.0038511753082275
a0,mlp_raw_attr,0.4270451388032825,0.0102010645008377,0.613933908364699,0.0118134622021975,0.418,0.0172046505340852,0.0013805389404296,0.7299581050872803
a0,node2vec_lr,0.811256049709581,0.0060332279173806,0.853932606896913,0.0125302253838779,0.5740000000000001,0.0185472369909913,0.0395270347595214,164.52475547790527
a0,one_hop,0.6877481950348494,0.0,0.832911538416563,0.0,0.52,0.0,0.0040729045867919,
a0,pagerank,0.8240742332293253,0.0,0.8568005529903442,0.0,0.56,0.0,0.0042788982391357,
a0,phi,-0.0273261887055836,0.0,0.1391846190874762,0.0,0.1,0.0,0.0028560161590576,
a0,two_hop,0.8039148268951347,0.0,0.8477827723661912,0.0,0.55,0.0,0.0048463344573974,
a0,views,0.4261462375273147,0.0,0.6098112389483747,0.0,0.45,0.0,0.0020234584808349,
a0,views_day,0.3655344013402026,0.0,0.5794628298290607,0.0,0.41,0.0,0.0003070831298828,
hscc,betweenness,0.039803288084566804,0.0,0.49823607120178837,0.0,0.09,0.0,0.00486445426940918,
hscc,degree,-0.006360674238591888,0.0,0.4645218248270397,0.0,0.04,0.0,0.0002779960632324219,
hscc,kshell,-0.027205331863245336,0.0,0.42532205839356163,0.0,0.05,0.0,0.00031566619873046875,
hscc,life_time,-0.7899593980370532,0.0,0.22101319966956992,0.0,0.0,0.0,0.00029277801513671875,
hscc,lr_degree_views_life_time,0.8678980151503782,0.0,0.8006277715508505,0.0,0.41,0.0,0.0005698204040527344,0.0017344951629638672
hscc,lr_degree_views_life_time_lang,0.8843015708937376,0.0,0.8294448466090564,0.0,0.45,0.0,0.0021238327026367188,0.004100799560546875
hscc,lr_life_time,0.7899593980370532,0.0,0.8273715472565295,0.0,0.46,0.0,0.0010263919830322266,0.0022313594818115234
hscc,lr_phi,0.8779442150410549,0.0,0.8362324050833342,0.0,0.44,0.0,0.0008718967437744141,0.0014748573303222656
hscc,lr_views_life_time,0.8678325850078059,0.0,0.8004752796763377,0.0,0.41,0.0,0.0005366802215576172,0.002155780792236328
hscc,lr_views_life_time_lang,0.8844167891447983,0.0,0.8304939221858436,0.0,0.45,0.0,0.0019402503967285156,0.0034949779510498047
hscc,mlp_raw_attr,0.8369289392687405,0.025716149200265846,0.7509262729169566,0.025570559256960036,0.29,0.05253570214625479,0.0013680458068847656,0.7251732826232911
hscc,node2vec_lr,0.5679079814718863,0.016854849015236522,0.720979908681047,0.0303449944100825,0.28400000000000003,0.037735924528226404,0.03971982002258301,163.33500862121582
hscc,one_hop,0.08135385951417771,0.0,0.4975490539345434,0.0,0.05,0.0,0.00033092498779296875,
hscc,pagerank,0.004371207524864236,0.0,0.4790832740624581,0.0,0.05,0.0,0.00027871131896972656,
hscc,phi,0.8779442150410549,0.0,0.8362324050833342,0.0,0.44,0.0,0.004793405532836914,
hscc,two_hop,0.022933801972770437,0.0,0.4862293995475496,0.0,0.04,0.0,0.0003345012664794922,
hscc,views,0.14668823283729318,0.0,0.5058742537803234,0.0,0.04,0.0,0.004790544509887695,
hscc,views_day,0.39138432082670715,0.0,0.5480913291532458,0.0,0.06,0.0,0.002374887466430664,
,betweenness,0.7163958237232385,0.0,0.7347562018068654,0.0,0.42,0.0,0.0047903060913085,
,degree,0.8263431086963201,0.0,0.8815098850109314,0.0,0.6,0.0,0.0047712326049804,
,kshell,0.8158559150833539,0.0,0.7782039007586463,0.0,0.5,0.0,0.0087568759918212,
,mlp_raw_attr,0.4348376848522979,0.0037669455841856,0.6014394773710741,0.0081559437898379,0.424,0.012,0.0013466835021972,0.7018085956573487
,node2vec_lr,0.8089999077121217,0.0054613174097577,0.8514543511482142,0.0129445998101008,0.5760000000000001,0.0233238075793811,0.0425044536590576,172.29036259651184
,one_hop,0.6877481950348494,0.0,0.832911538416563,0.0,0.52,0.0,0.0076448917388916,
,pagerank,0.8240742332293253,0.0,0.8568005529903442,0.0,0.56,0.0,0.0069084167480468,
,two_hop,0.8039148268951347,0.0,0.8477827723661912,0.0,0.55,0.0,0.0051352977752685,
,views,0.4261462375273147,0.0,0.6098112389483747,0.0,0.45,0.0,0.0037119388580322,
,views_day,0.3655344013402026,0.0,0.5794628298290607,0.0,0.41,0.0,0.0033166408538818,
