label_regime,model_name,inference_sec_full_graph,train_sec
a0,appnp_raw_attr,0.7896575450897216,286.4467340946197
a0,best_arch_raw_attr_rankloss,0.1651839256286621,59.59741730690003
a0,betweenness,0.0017123222351074,
a0,degree,0.004716157913208,
a0,gcn_raw_attr,0.1649891376495361,59.19602394104004
a0,gin_raw_attr,0.0672272205352783,23.77753086090088
a0,gnn_centrality,0.0674930572509765,23.279711055755616
a0,gnn_full,0.0690895080566406,23.875482940673827
a0,gnn_graph_only,0.0654348373413085,22.90316424369812
a0,gnn_raw_attr,0.0673528671264648,23.61086049079895
a0,kshell,0.0003013610839843,
a0,life_time,0.0002992153167724,
a0,lr_degree_views_life_time,0.000561237335205,0.0017035007476806
a0,lr_degree_views_life_time_lang,0.0021090507507324,0.0042521953582763
a0,lr_life_time,0.0009996891021728,0.0021953582763671
a0,lr_phi,0.000892162322998,0.001483678817749
a0,lr_views_life_time,0.0005488395690917,0.0021510124206542
a0,lr_views_life_time_lang,0.0019683837890625,0.0038511753082275
a0,mlp_raw_attr,0.0013489246368408,0.7247286796569824
a0,node2vec_lr,0.0390838146209716,153.7278182029724
a0,one_hop,0.003659963607788,
a0,pagerank,0.0002722740173339,
a0,phi,0.0002710819244384,
a0,two_hop,0.0002963542938232,
a0,views,0.0047988891601562,
a0,views_day,0.0047414302825927,
analytical,betweenness,0.0009982585906982,
analytical,degree,0.0009980201721191,
analytical,diffusion_proxies,1.089245080947876,
analytical,kshell,0.0,
analytical,life_time,0.00099778175354,
analytical,lr_degree_views_life_time,0.0009992122650146,0.0009996891021728
analytical,lr_life_time,0.0,0.001979112625122
analytical,lr_phi,0.0009999275207519,0.0009999275207519
analytical,lr_views_life_time,0.0,0.0020012855529785
analytical,mc_ic_labeling,480.2750587463379,
analytical,one_hop,0.0009992122650146,
analytical,pagerank,0.0,
analytical,phi,0.0,
analytical,two_hop,0.0009992122650146,
analytical,views,0.0,
analytical,views_day,0.0,
hscc,appnp_raw_attr,0.7896137714385987,286.3823145866394
hscc,best_arch_raw_attr_rankloss,0.085440969467163,27.30731854438782
hscc,betweenness,0.0046980381011962,
hscc,degree,0.0044143199920654,
hscc,gcn_raw_attr,0.1652064323425293,59.07527832984924
hscc,gin_raw_attr,0.0858689308166504,27.514346075057983
hscc,gnn_centrality,0.0674827098846435,23.3906623840332
hscc,gnn_full,0.0911138534545898,28.314442253112794
hscc,gnn_graph_only,0.0655602931976318,22.977669620513915
hscc,gnn_raw_attr,0.0859556198120117,27.319873428344728
hscc,kshell,0.0015058517456054,
hscc,life_time,0.0047180652618408,
hscc,lr_degree_views_life_time,0.0006251335144042,0.0018346309661865
hscc,lr_degree_views_life_time_lang,0.0020015239715576,0.0032684803009033
hscc,lr_life_time,0.0010240077972412,0.002164602279663
hscc,lr_phi,0.0009021759033203,0.0014617443084716
hscc,lr_views_life_time,0.0005366802215576,0.0021486282348632
hscc,lr_views_life_time_lang,0.0052833557128906,0.0037689208984375
hscc,mlp_raw_attr,0.0013653755187988,0.705574369430542
hscc,node2vec_lr,0.0401956558227539,152.2804072856903
hscc,one_hop,0.0002803802490234,
hscc,pagerank,0.0045843124389648,
hscc,phi,0.0046048164367675,
hscc,two_hop,0.0002706050872802,
hscc,views,0.0035235881805419,
hscc,views_day,0.004390001296997,
